,0 to 1 Years,1 to 3 Years,Appearance/Service Related - ADMSN HEARING APEL,Appearance/Service Related - APPEARANCE ,Appearance/Service Related - AWAIT SERVICE -NBW ,Appearance/Service Related - AWAIT SERVICE -SUMN ,Appearance/Service Related - AWAIT SERVICE -SUMN-BW ,Appearance/Service Related - COGNIZANCE – ISSUE PROCESS ,Appearance/Service Related - SUPPLY OF PROCESS ,Compliance/Steps/stay - ADDL WS ,Compliance/Steps/stay - ALERTS ,Compliance/Steps/stay - AWAIT ADR REPORT,Compliance/Steps/stay - AWAIT COMM. REPORT,Compliance/Steps/stay - AWAIT ORDER,Compliance/Steps/stay - AWAIT RECORD,Compliance/Steps/stay - AWAIT REPORT,Compliance/Steps/stay - COMPLIANCE,Compliance/Steps/stay - DORMANT,Compliance/Steps/stay - STAYED,Compliance/Steps/stay - STAYED BY HC,Compliance/Steps/stay - STEPS,Evidence/Argument/Judgement - 313 EXAM.,Evidence/Argument/Judgement - ARGUMENTS,Evidence/Argument/Judgement - COMMITTAL,Evidence/Argument/Judgement - DISCOVERY -INSPEC,Evidence/Argument/Judgement - EBC,Evidence/Argument/Judgement - HEARING,Evidence/Argument/Judgement - JUDGMENT,Evidence/Argument/Judgement - ORDERS,Evidence/Argument/Judgement - PRE-TRIAL EVID,Pleadings/Issues/Charge - 89 CPC,Pleadings/Issues/Charge - ADMN-DENIALS,Pleadings/Issues/Charge - CHARGE-PLEA,Pleadings/Issues/Charge - HEARING – CHARGE,Pleadings/Issues/Charge - ISSUES,Pleadings/Issues/Charge - WS,Women,Senior Citizen
Bihar,0.271169806947083,0.222545432861493,0.00679876169311423,0.358164981044095,0.00008650678868,0.00200267415160357,0.00003233506179,0.00333471072297839,0.00002057685750,0.00000713890975,0.00006383025184,0.000831473017440776,0.000157475950272874,0.000859608720556197,0.00310878522632024,0.0594692178610483,0.0157547339370331,0.00000587910214,0.00001091833255,0.000117162107003018,0.00450003275499766,0.00360682916504991,0.00023852357267998,0.000476207273625172,0.00000041993587,0.0084377713835543,0.0751336655865916,0.00111744934313632,0.00331791328828261,0.00522946135666161,0.00009070614736,0.00000923858908,0.165211588886145,0.000472007914951229,0.00023264447053646,0.00005627140623,0.10362421450996,0.0433705564486192
Delhi,0.523443906200803,0.319329457305605,0,0.619480827806374,0,0,0,0,0,0,0.00006061555092,0.000915968325007114,0,0,0,0.000873874192424066,0,0,0,0,0.0480580292874137,0.00485429536947704,0,0,0,0.0000016837653,0.0391458595369309,0.00107929355942934,0.0103804130949795,0.0000016837653,0.000910917029097148,0,0.0455155436793976,0,0.00534427107274371,0,0.0561990345289751,0.0156775387392302
Maharashtra,3.60201912002771,3.0009060670248,0,0.892250509411016,0.904379726649646,2.27104290328037,0.166579415767982,0.372317034865459,0.0000161078582,0.00006845839743,0.0503491378268888,0.00213831817852339,0.00116781972085082,0.00002818875188,0.0265618582025241,0.113886584570283,0.504308852073484,0.100980163172604,0.00318532896273447,0.0196113173811844,1.59462964006991,0.0357634722099176,0.000744988442611728,0.000624179505971988,0,0.0344506817650991,0.724865700732102,0.0173119206204747,0.21876887639635,0.00000402696455,0.115581936647794,0.00587534128524601,0.441516393772702,0.0158662403453525,0.000173159475850294,0.0109694514468884,0.560235335808574,0.241215176824014
Tamil Nadu,0.39106427902715,0.312584905284545,0.0042228552078561,0.00133059777304145,0.0379519152241898,0.00379459394856881,0.00147401549708185,0.290488616218154,0,0.00000199191283,0,0,0,0.000631436368344521,0.00625460629842838,0.00396191462661594,0.0173615122602235,0,0.0101328605860208,0.000239029540067327,0.00882019002848435,0.00005776547218,0.00001394338984,0.000605541501503894,0.000645379758181782,0.00001195147700,0.0457263510148796,0.00381052925123997,0.00318108479572934,0.0180188434954086,0.00795769177140808,0.00000796765134,0.0107463697388602,0,0.245505248690317,0.00004382208235,0.0321355297492182,0.0210126884847519
Uttar Pradesh,0.298693682316031,0.21971162240294,0.00248005917187574,0.369508623806514,0.00152020472716999,0.00297199763047902,0.00128102445748814,0.0668421815816918,0.00001758166466,0.000263376818070331,0.00005152646276,0.000232391310062056,0.00003255219100,0.00004299674426,0.000330918262492861,0.000913550258581027,0.0017052473957812,0.00001967057531,0.00151393799521326,0.00338455748429705,0.0119490911584942,0.00530809604323767,0.00006754144442,0.00134839182602299,0.00003829669529,0.00370886086305781,0.178065707032718,0.00153517525351107,0.0391507115961175,0.00875688753009119,0.0135375336336374,0.000126727246236088,0.0208158205737158,0.0022128526842763,0.00214565939162914,0.00847001046718313,0.0841665620760708,0.00932211193741067
West Bengal,0.231449388889485,0.266523930196557,0.000722342173318069,0.0666938133284838,0.164006124377269,0.132008455752165,0.00785144714110071,0.0133585296524568,0.000171690399287485,0.00001637836046,0.00035862961693274,0.00000790679470,0.00007285546549,0.0038359249735546,0.00360549838503718,0.0207807507953388,0.00775204743625006,0.00000056477105,0.00000112954210,0.00000056477105,0.0125768865188586,0.00365237438221107,0.0000028238553,0.00171803353497542,0.00000677725260,0.000925094980371382,0.0228975126918174,0.00123684860013024,0.0119663690134975,0.00153109431733017,0.000367101182687056,0.000932437004025123,0.0713221120855922,0.00069918656025627,0.000136674594169643,0.000338862630172667,0.0738743124618427,0.0198872829937836
